condition,display_type,hdd_type,os,cpu_line,cpu_cores,cpu_speed,ram_size,ram_type,ram_speed,hdd_size,display_surface,display_resolution,gfx_type,weight,battery_capacity
Nowy,TN,SSD,Windows 10 Home,Intel Pentium Quad-Core,4,2.56 GHz,4 GB,DDR3L,1600,256 GB,błyszcząca,1366 x 768,Intel HD Graphics 405,1.9 kg,33 Wh
Nowy,,HDD,"Linux, brak systemu, inny",Intel Core i7,4,4 GHz,8 GB,DDR4,2133,1000 GB,antyrefleksyjna,1366 x 768,NVIDIA GeForce MX130,2.04 kg,41 mAh
Odnowiony przez producenta,IPS,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,256 GB,błyszcząca,1920 x 1080,NVIDIA GeForce MX150,,
Nowy,IPS,SSD,Windows 10 Professional,Intel Core i7,6,4.4 GHz,16 GB,DDR4,2666,256 GB,matowa,1920 x 1080,,1.6 kg,68 Wh
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,6,4.1 GHz,16 GB,DDR4,2666,1512 GB,matowa,3840 x 2160,NVIDIA GeForce GTX 1060,2.81 kg,56 Wh
Nowy,IPS,SSD,Windows 10 Home,AMD A12,4,3.6 GHz,8 GB,DDR4,,256 GB,błyszcząca,1366 x 768,AMD Radeon 530M,1.95 kg,41 mAh
Nowy,,SSD,brak systemu,Intel Core i3,2,,8 GB,DDR3,1600,120 GB,matowa,1366 x 768,Intel HD Graphics 520,2.4 kg,3220 mAh
Używany,,SSD,"Windows 7 Professional 64-bit, Windows 10 Home, Windows 10 Professional",Intel Core i5,2,3.3 GHz,8 GB,DDR3,,120 GB,matowa,1366 x 768,,,
Nowy,TN,SSD,Windows 10 Home,Intel Core i5,2,3.1 GHz,8 GB,DDR4,,256 GB,błyszcząca,1366 x 768,Intel HD Graphics 620,,36 Wh
Nowy,TN,eMMC,inny,Intel Celeron,2,2.6 GHz,4 GB,DDR4,2400,64 GB,matowa,1366 x 768,,1.25 kg,4800 mAh
Używany,,SSD,Windows 7 Professional 64-bit,Intel Core i5,2,,8 GB,,,128 GB,matowa,1366 x 768,,,
Nowy,,SSD + HDD,brak systemu,Intel Core i7,6,,16 GB,,,1240 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,,
Nowy,,SSD + HDD,brak systemu,Intel Core i7,6,,16 GB,,,1240 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1060,,
Nowy,,eMMC,Windows 10 Home,Intel Celeron,2,,4 GB,,,32 GB,matowa,1366 x 768,,,
Odnowiony przez producenta,TN,eMMC,Windows 10 Home,Intel Celeron Dual-Core,2,2.5 GHz,4 GB,DDR3L,,64 GB,błyszcząca,1920 x 1080,Intel HD Graphics 505,1.31 kg,
Nowy,TN,SSD,Windows 10 Home,Intel Pentium Quad-Core,4,2.5 GHz,4 GB,DDR3L,1600,240 GB,błyszcząca,1366 x 768,Intel HD Graphics 505,1.9 kg,33 Wh
Nowy,,HDD,Windows 10 Home,Intel Core i3,2,,8 GB,DDR4,,1000 GB,matowa,1366 x 768,Intel HD Graphics 620,,40 Wh
Nowy,IPS,SSD,Windows 10 Professional,Intel Core i7,4,4 GHz,16 GB,DDR3,1866,512 GB,matowa,1920 x 1080,Intel HD Graphics 620,1.21 kg,52 Wh
Nowy,TN,HDD,Windows 10 Home,Intel Core i7,6,4.1 GHz,16 GB,DDR4,2400,1000 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1060,4.42 kg,68 Wh
Używany,,SSD,"Windows 7 Professional 64-bit, Windows 10 Professional",Intel Core i7,2,3.3 GHz,16 GB,,,256 GB,matowa,1366 x 768,Intel HD Graphics 4000,,
Odnowiony przez producenta,IPS,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,16 GB,,,512 GB,błyszcząca,3840 x 2160,NVIDIA GeForce MX150,,
Nowy,TN,SSD,Windows 10 Home,Intel Core i3,2,,8 GB,DDR4,1600,240 GB,antyrefleksyjna,1920 x 1080,Intel HD Graphics 520,1.84 kg,
Odnowiony przez producenta,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,4,3.8 GHz,16 GB,,,1256 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,,
Nowy,,HDD,Windows 10 Home,Intel Core i7,4,3.5 GHz,8 GB,DDR4,,1000 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 950M,,
Nowy,,SSD,Windows 10 Home,Intel Pentium Dual-Core,2,2.3 GHz,4 GB,DDR4,2133,128 GB,błyszcząca,1366 x 768,Intel HD Graphics 620,,
Nowy,TN,SSD,Windows 10 Professional,Intel Pentium Quad-Core,2,2.5 GHz,4 GB,DDR3L,1600,128 GB,matowa,1366 x 768,Intel HD Graphics 505,1.39 kg,42 Wh
Nowy,,HDD,Windows 10 Home,Intel Pentium Quad-Core,4,,4 GB,,,1000 GB,matowa,1920 x 1080,Intel HD Graphics 505,,
Nowy,IPS,SSD,Windows 10 Professional,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,256 GB,matowa,1920 x 1080,Intel HD Graphics 620,1.19 kg,60 Wh
Używany,IPS,HDD,Windows 8.1 Professional 64-bit,Intel Core i7,4,,16 GB,DDR3,,750 GB,matowa,1920 x 1080,NVIDIA Quadro K3100M,,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,6,4.1 GHz,16 GB,DDR4,2400,512 GB,błyszcząca,3840 x 2160,NVIDIA GeForce GTX 1050 Ti Max-Q,1.8 kg,97 Wh
Używany,,SSD,Windows 8.1 Professional 64-bit,Intel Core i7,2,3.3 GHz,8 GB,DDR3L,,128 GB,matowa,1920 x 1080,Intel HD Graphics 4400,1.4 kg,34 Wh
Nowy,,SSD + HDD,Windows 10 Home,Intel Core i5,4,,8 GB,DDR4,2133,240 GB,matowa,1920 x 1080,,,
Używany,,HDD,"inny, Windows 7 Professional 64-bit",Intel Core 2 Duo,2,,4 GB,,,160 GB,matowa,1280 x 800,,,
Nowy,,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,8 GB,DDR4,,256 GB,matowa,1920 x 1080,,,
Używany,TN,SSD,"Windows 7 Professional 64-bit, Windows 10 Home, Windows 10 Professional",Intel Core i5,2,2.8 GHz,8 GB,DDR3,,240 GB,matowa,1366 x 768,Intel HD Graphics 4000,,
Używany,TN,SSD,"Windows 10 Home, Windows 7 Professional 64-bit, Windows 10 Professional",Intel Core i5,2,2.6 GHz,8 GB,DDR3,,256 GB,matowa,1366 x 768,Intel HD Graphics 4400,1.4 kg,
Używany,,SSD,Windows 7 Professional 64-bit,Intel Core i7,2,3.3 GHz,8 GB,DDR3,,256 GB,matowa,1920 x 1080,,,
Używany,,SSD,Windows 10 Professional,Intel Core i7,4,3.7 GHz,8 GB,DDR3,,240 GB,matowa,1920 x 1080,,2.69 kg,
Nowy,IPS,SSD,Mac OS,Intel Core i5,4,3.8 GHz,16 GB,DDR3L,2133,256 GB,błyszcząca,2560 x 1600,Intel Iris Plus Graphics 655,1.37 kg,58 Wh
Nowy,,HDD,Windows 10 Home,Intel Celeron Dual-Core,2,2.4 GHz,8 GB,DDR3,,1000 GB,matowa,1366 x 768,Intel HD Graphics 500,,
Nowy,TN,SSD + HDD,brak systemu,Intel Core i7,6,,8 GB,,,1120 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,,
Powystawowy,,SSD,Windows 10 Home,Intel Core i3,2,2 GHz,8 GB,DDR4,2133,256 GB,matowa,1920 x 1080,,2.2 kg,3500 mAh
Nowy,TN,SSD + HDD,brak systemu,Intel Core i7,6,,16 GB,,,1120 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,,
Nowy,,SSD,Mac OS,Intel Core i5,2,3.6 GHz,8 GB,DDR3,2133,128 GB,błyszcząca,2560 x 1600,,,
Nowy,TN,SSD,Windows 10 Home,Intel Core i5,2,3.1 GHz,8 GB,DDR4,2133,240 GB,matowa,1920 x 1080,Intel HD Graphics 620,2.3 kg,
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,6,4.1 GHz,16 GB,DDR4,2666,1256 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1060,2.81 kg,56 Wh
Nowy,,HDD,Windows 10 Home,Intel Core i7,2,3.5 GHz,8 GB,DDR4,,1000 GB,matowa,1920 x 1080,AMD Radeon R7 M445,2.83 kg,42 Wh
Odnowiony przez producenta,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,4,3.8 GHz,16 GB,,,1128 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,16 GB,DDR4,2400,512 GB,błyszcząca,1920 x 1080,,2.8 kg,3500 mAh
Nowy,TN,eMMC,inny,Intel Celeron Dual-Core,2,2.4 GHz,4 GB,DDR4,2400,32 GB,matowa,1920 x 1080,Intel HD Graphics 500,1.44 kg,
Używany,TN,HDD,Windows 7 Professional 64-bit,Intel Core i5,2,3 GHz,4 GB,DDR3L,,500 GB,matowa,1366 x 768,Intel HD Graphics 4400,1.4 kg,
Odnowiony przez producenta,,SSD + HDD,Windows 10 Home,Intel Core i3,2,,8 GB,DDR4,2133,1128 GB,matowa,1920 x 1080,,,
Nowy,,SSD + HDD,brak systemu,Intel Core i7,6,,8 GB,,,1240 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1060,,
Używany,TN,HDD,"Windows 10 Professional, Windows 7 Professional 64-bit, Windows 10 Home",Intel Core i7,2,3.4 GHz,8 GB,DDR3,,500 GB,matowa,1366 x 768,Intel HD Graphics 3000,3 kg,
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,6,4.1 GHz,16 GB,DDR4,,1256 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,2.33 kg,3500 mAh
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,4,3.8 GHz,16 GB,DDR4,2400,1512 GB,antyrefleksyjna,1920 x 1080,NVIDIA GeForce GTX 1070,3.78 kg,86 Wh
Nowy,IPS,SSD,Windows 10 Home,Intel Core i5,4,4 GHz,8 GB,DDR4,2666,256 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,2.81 kg,56 Wh
Nowy,TN,SSD,Windows 10 Home,AMD A6,2,2.9 GHz,8 GB,DDR4,2133,120 GB,matowa,1920 x 1080,,2.2 kg,4000 mAh
Nowy,,eMMC + HDD,Windows 10 Home,Inny procesor,4,1.92 GHz,4 GB,DDR3,,532 GB,błyszcząca,1920 x 1080,Intel HD Graphics 500,1.7 kg,10000 mAh
Używany,TN,SSD,"Windows 10 Professional, Windows 7 Home 64-bit, Windows 8.1 Professional 64-bit",Intel Core i5,2,3.3 GHz,8 GB,DDR3,,120 GB,matowa,1600 x 900,Intel HD Graphics 4000,2.2 kg,
Nowy,VA,HDD,Windows 10 Home,Intel Celeron Dual-Core,2,2.4 GHz,4 GB,DDR4,2133,1000 GB,matowa,1366 x 768,Intel HD Graphics 500,1.9 kg,31 Wh
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,6,4.1 GHz,8 GB,DDR4,2666,1128 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,2.33 kg,56 Wh
Używany,TN,SSD,"Windows 10 Professional, Windows 8.1 Professional 64-bit, Windows 7 Home 64-bit",Intel Core i5,2,3.3 GHz,16 GB,DDR3,,240 GB,matowa,1366 x 768,Intel HD Graphics 4600,2.6 kg,
Nowy,TN,SSD,Windows 10 Professional,Intel Core i3,2,,4 GB,,,120 GB,antyrefleksyjna,1920 x 1080,Intel HD Graphics 520,1.9 kg,
Odnowiony przez producenta,IPS,SSD,Windows 10 Professional,Intel Core i5,4,3.5 GHz,16 GB,DDR4,,256 GB,matowa,1920 x 1080,,,
Używany,TN,SSD,Windows 7 Professional 64-bit,Intel Core i5,2,3 GHz,4 GB,DDR3L,,256 GB,matowa,1366 x 768,Intel HD Graphics 4400,1.68 kg,47 Wh
Nowy,,SSD,Windows 10 Home,Intel Core 2 Duo,2,2.4 GHz,8 GB,DDR3,1600,256 GB,matowa,1366 x 768,,1.9 kg,
Nowy,IPS,SSD,Windows 10 Professional,Intel Core i5,4,3.8 GHz,16 GB,DDR4,2400,256 GB,matowa,1920 x 1080,,2.21 kg,68 Wh
Nowy,,SSD + HDD,brak systemu,Intel Core i7,6,,16 GB,,,1500 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1060,,
Nowy,,HDD,Windows 10 Home,AMD A6,2,2.9 GHz,8 GB,DDR4,1866,1000 GB,matowa,1366 x 768,,2.1 kg,41 Wh
Nowy,,SSD,Mac OS,Intel Core i5,2,2.9 GHz,8 GB,DDR3,1600,256 GB,błyszcząca,1440 x 900,Intel HD Graphics 6000,1.35 kg,54 Wh
Powystawowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,4,3.8 GHz,8 GB,DDR4,2400,1240 GB,matowa,3840 x 2160,NVIDIA GeForce GTX 1060,3.2 kg,
Nowy,,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,256 GB,matowa,1920 x 1080,,1.43 kg,3653 mAh
Nowy,,HDD,Windows 10 Home,Intel Core i5,4,3.4 GHz,4 GB,DDR4,2400,1000 GB,antyrefleksyjna,1366 x 768,Intel HD Graphics 620,2.1 kg,41 Wh
Nowy,,SSD,Windows 10 Professional,Intel Core i7,4,4 GHz,16 GB,DDR3,1866,512 GB,matowa,1920 x 1080,NVIDIA GeForce MX150,1.3 kg,4335 mAh
Używany,IPS,SSD,Windows 10 Professional,Intel Core i7,2,3.2 GHz,8 GB,DDR3L,,240 GB,matowa,2560 x 1440,Intel HD Graphics 5500,1.4 kg,
Używany,TN,SSD,"Windows 8.1 Professional 32-bit, Windows 8.1 Professional 64-bit, Windows 10 Professional",Intel Core i3,2,,8 GB,DDR3,,128 GB,matowa,1366 x 768,Intel HD Graphics 4400,,
Używany,,SSD,Windows 7 Professional 64-bit,Intel Core i5,2,,8 GB,,,225 GB,matowa,1600 x 900,,,
Używany,TN,SSD + HDD,"Windows 7 Home 64-bit, Windows 7 Professional 64-bit, Windows 8.1 Home 64-bit, Windows 8.1 Home 32-bit, Windows 7 Professional 32-bit, Windows 10 Home, Windows 10 Professional, Windows 8.1 Professional 32-bit, Windows 8.1 Professional 64-bit",Intel Core i7,4,3.3 GHz,8 GB,DDR3,,878 GB,matowa,1366 x 768,,2.65 kg,
Używany,IPS,SSD,Windows 10 Professional,Intel Core i7,2,3.2 GHz,8 GB,DDR3L,1600,256 GB,matowa,1920 x 1080,Intel HD Graphics 5500,,
Powystawowy,,HDD,Windows 10 Home,Intel Pentium Dual-Core,2,,8 GB,DDR3,,1000 GB,błyszcząca,1366 x 768,,2.3 kg,
Nowy,,HDD,brak systemu,Intel Core i3,2,3.4 GHz,4 GB,DDR4,2400,1000 GB,matowa,1920 x 1080,,1.62 kg,3727 mAh
Nowy,IPS,SSD,Windows 10 Professional,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,256 GB,antyrefleksyjna,1920 x 1080,Intel HD Graphics 620,,45 Wh
Nowy,TN,HDD,Windows 10 Home,AMD A6,2,2.9 GHz,8 GB,DDR4,2133,1000 GB,matowa,1600 x 900,,2.41 kg,30 Wh
Nowy,IPS,SSD,Mac OS,Intel Core i5,2,,8 GB,DDR3L,,128 GB,błyszcząca,2560 x 1600,,1.37 kg,54 Wh
Nowy,VA,SSD + HDD,Windows 10 Home,Intel Core i5,2,3 GHz,8 GB,DDR4,2133,1256 GB,antyrefleksyjna,1920 x 1080,,2 kg,41 Wh
Nowy,,SSD + HDD,Windows 10 Home,Intel Core i7,4,3.8 GHz,16 GB,DDR4,2133,1128 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,3 kg,48 Wh
Nowy,,SSD,Mac OS,Intel Core i5,2,2.9 GHz,8 GB,DDR3,1600,128 GB,błyszcząca,1440 x 900,Intel HD Graphics 6000,1.35 kg,
Nowy,TN,HDD,Windows 10 Home,Intel Pentium Quad-Core,4,2.7 GHz,4 GB,DDR4,,500 GB,matowa,1366 x 768,,2.21 kg,40 Wh
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,6,4.1 GHz,32 GB,DDR4,2666,1512 GB,antyrefleksyjna,1920 x 1080,NVIDIA GeForce GTX 1070,2.53 kg,70 mAh
Nowy,IPS,SSD,Mac OS,Intel Core i7,6,4.4 GHz,16 GB,DDR4,2400,512 GB,błyszcząca,2880 x 1800,AMD Radeon Pro 555X,1.83 kg,83.6 Wh
Odnowiony przez producenta,IPS,SSD,Windows 10 Professional,Intel Core i5,2,2.9 GHz,12 GB,DDR3,1600,256 GB,matowa,1920 x 1080,,,
Nowy,,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,256 GB,matowa,1920 x 1080,,1.54 kg,3727 mAh
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,4,,16 GB,DDR4,2666,1256 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1060 Max-Q,,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,256 GB,błyszcząca,1920 x 1080,Intel HD Graphics 620,1.63 kg,41 Wh
Nowy,,HDD,Windows 10 Home,Intel Pentium Quad-Core,4,2.56 GHz,4 GB,DDR3,1600,1000 GB,błyszcząca,1366 x 768,,,
Nowy,,SSD + HDD,brak systemu,Intel Core i7,6,,16 GB,,,1120 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1060,,
Nowy,IPS,Hybrydowy,Windows 10 Home,Intel Core i7,6,4.1 GHz,8 GB,DDR4,2666,1240 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,2.31 kg,4240 mAh
Nowy,VA,HDD,Windows 10 Home,Intel Celeron Dual-Core,2,2 GHz,4 GB,DDR3L,1600,500 GB,błyszcząca antyrefleksyjna,1366 x 768,Intel HD Graphics 400,,31 Wh
Nowy,IPS,SSD,Windows 10 Home,Intel Core i5,4,4 GHz,8 GB,DDR4,2666,256 GB,antyrefleksyjna,1920 x 1080,NVIDIA GeForce GTX 1050Ti,2.22 kg,52 mAh
Nowy,IPS,SSD,Windows 10 Home,Intel Core i5,4,4 GHz,8 GB,DDR4,2666,256 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,2.33 kg,56 Wh
Odnowiony przez producenta,,HDD,Windows 10 Home,Intel Celeron,2,2.16 GHz,4 GB,DDR4,2133,500 GB,błyszcząca,1366 x 768,,,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,2,3.6 GHz,8 GB,DDR3,1866,256 GB,błyszcząca,1920 x 1080,Intel HD Graphics 615,1.24 kg,46 Wh
Po zwrocie,,HDD,Windows 10 Home,Intel Core i7,4,4 GHz,16 GB,DDR4,,1000 GB,błyszcząca,1600 x 900,,,
Nowy,,SSD,Windows 10 Professional,Intel Core i7,4,4 GHz,16 GB,DDR4,2133,512 GB,matowa,1920 x 1080,,1.02 kg,
Nowy,TN,SSD,Windows 10 Professional,Intel Core i5,2,3 GHz,8 GB,DDR4,,256 GB,matowa,1366 x 768,Intel HD Graphics 520,1.6 kg,
Po zwrocie,IPS,SSD,Windows 10 Home,Intel Core i5,2,3.1 GHz,8 GB,DDR3L,1866,512 GB,błyszcząca,1920 x 1080,Intel HD Graphics 620,,
Odnowiony przez producenta,,SSD,Windows 10 Home,Intel Core i7,2,3.5 GHz,8 GB,DDR4,2133,256 GB,matowa,1920 x 1080,,,
Odnowiony przez producenta,IPS,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,16 GB,DDR4,,512 GB,błyszcząca,3840 x 2160,NVIDIA GeForce MX150,,
Używany,TN,SSD,"Windows 10 Professional, Windows 7 Professional 64-bit, Windows 10 Home",Intel Core i7,4,3.7 GHz,16 GB,DDR3,,240 GB,matowa,1920 x 1080,,3 kg,
Nowy,TN,SSD,brak systemu,Intel Core i3,2,3.4 GHz,4 GB,DDR4,2400,256 GB,matowa,1920 x 1080,,1.58 kg,3727 mAh
Nowy,IPS,HDD,Windows 10 Home,Intel Core i7,6,4.1 GHz,16 GB,DDR4,2400,1000 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,,51 Wh
Nowy,,SSD + HDD,Windows 10 Home,Intel Core i7,4,4 GHz,8 GB,DDR4,,1128 GB,matowa,1920 x 1080,,,
Nowy,,SSD,Windows 10 Home,Intel Core i5,4,,8 GB,DDR3,1866,256 GB,matowa,1920 x 1080,,,
Nowy,TN,SSD,Windows 10 Professional,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,256 GB,matowa,1920 x 1080,,2.18 kg,42 Wh
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,6,4.1 GHz,8 GB,DDR4,,1000 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,,52.5 Wh
Używany,,SSD,Windows 8.1 Professional 64-bit,Intel Core i7,2,,8 GB,DDR3,,240 GB,matowa,1920 x 1080,,,
Nowy,,SSD,Windows 10 Home,Intel Pentium Quad-Core,4,2.5 GHz,4 GB,DDR3,,256 GB,błyszcząca,1366 x 768,,,
Używany,TN,SSD,"Windows 10 Professional, Windows 10 Home, Windows 7 Home 64-bit",Intel Core i5,2,2.6 GHz,8 GB,DDR3,,240 GB,matowa,1366 x 768,,1.7 kg,
Używany,,SSD,Windows 10 Professional,Intel Core i7,4,3.7 GHz,16 GB,DDR3,,480 GB,matowa,1920 x 1080,,2.69 kg,
Używany,,HDD,Windows 7 Professional 64-bit,Intel Core i5,2,,4 GB,DDR3,,320 GB,matowa,1366 x 768,,,
Używany,IPS,SSD,Windows 10 Professional,Intel Core m,2,2 GHz,4 GB,DDR3L,,120 GB,błyszcząca antyrefleksyjna,1920 x 1080,Intel HD Graphics 5300,,
Nowy,,HDD,Windows 10 Home,AMD A6,4,2.4 GHz,8 GB,DDR3L,1600,500 GB,błyszcząca,1366 x 768,,2 kg,
Nowy,IPS,HDD,brak systemu,Intel Core i5,4,4 GHz,8 GB,DDR4,2666,1000 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,2.7 kg,4240 mAh
Nowy,IPS,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,256 GB,błyszcząca,1920 x 1080,NVIDIA GeForce MX150,1.3 kg,
Nowy,,eMMC,Windows 10 Home,Intel Celeron,2,2.4 GHz,4 GB,,,64 GB,matowa,1366 x 768,,,4810 mAh
Używany,,HDD,Windows 7 Professional 64-bit,Intel Core i3,2,,4 GB,DDR3,1333,160 GB,matowa,1366 x 768,,2.37 kg,
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,4,4 GHz,8 GB,DDR4,2400,1128 GB,błyszcząca,1920 x 1080,NVIDIA GeForce GT 940MX,1.63 kg,41 Wh
Powystawowy,,SSD,Windows 10 Home,Intel Core i7,2,3.5 GHz,8 GB,DDR4,2400,256 GB,matowa,1920 x 1080,AMD Radeon R7 M445,,
Nowy,VA,HDD,brak systemu,Intel Celeron Quad Core,2,2.4 GHz,4 GB,DDR4,2133,1000 GB,matowa,1366 x 768,Intel HD Graphics 500,1.85 kg,31 Wh
Używany,,HDD,Windows 7 Professional 64-bit,Intel Core i5,2,2.9 GHz,4 GB,DDR3L,1600,320 GB,matowa,1366 x 768,,,
Nowy,IPS,SSD,Windows 10 Professional,Intel Core i7,4,4.2 GHz,16 GB,DDR4,2400,512 GB,matowa,1920 x 1080,Intel HD Graphics 620,1.4 kg,60 Wh
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i5,4,4 GHz,8 GB,,,1256 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,,
Odnowiony przez producenta,,HDD,Windows 10 Home,Intel Core i7,2,3.5 GHz,16 GB,DDR4,,1000 GB,błyszcząca,1920 x 1080,AMD Radeon R7 M445,2.35 kg,42 Wh
Odnowiony przez producenta,,SSD,Windows 10 Home,Intel Core i5,2,3.1 GHz,8 GB,DDR4,,256 GB,matowa,1600 x 900,Intel HD Graphics 620,,
Nowy,IPS,HDD,Windows 10 Home,AMD Ryzen 5,4,,8 GB,DDR4,,1000 GB,błyszcząca,1920 x 1080,,,
Używany,TN,SSD,"Windows 10 Professional, Windows 7 Home 64-bit, Windows 8.1 Professional 64-bit",Intel Core i5,2,3.3 GHz,8 GB,DDR3,,240 GB,matowa,1600 x 900,Intel HD Graphics 4000,2.2 kg,
Powystawowy,,SSD + HDD,Windows 10 Home,Inny procesor,8,3.7 GHz,16 GB,DDR4,2400,1240 GB,matowa,1920 x 1080,,3.2 kg,4800 mAh
Używany,,SSD,Windows 8.1 Professional 64-bit,Intel Core i7,2,3.1 GHz,8 GB,DDR3L,,256 GB,błyszcząca,1920 x 1080,Intel HD Graphics 4400,1.52 kg,55 Wh
Odnowiony przez producenta,IPS,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,8 GB,DDR4,2400,256 GB,błyszcząca,1920 x 1080,NVIDIA GeForce GTX 1050,,
Nowy,TN,SSD + HDD,Windows 10 Home,Intel Core i7,4,3.4 GHz,8 GB,DDR4,2400,2128 GB,matowa,1920 x 1080,,2.18 kg,42 Wh
Nowy,IPS,Brak,Windows 10 Home,Intel Core i7,6,4.1 GHz,16 GB,DDR4,,0 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,,
Nowy,IPS,SSD,Windows 10 Professional,Intel Core i7,4,3.9 GHz,16 GB,DDR4,2400,512 GB,błyszcząca,1920 x 1080,NVIDIA GeForce 940MX,1.9 kg,68 Wh
Nowy,IPS,SSD,Windows 10 Home,Intel Core i5,2,3.1 GHz,8 GB,DDR4,,256 GB,błyszcząca,2160 x 1440,,1.06 kg,5449 mAh
Nowy,TN,HDD,Windows 10 Home,Intel Pentium Quad-Core,4,2.5 GHz,4 GB,DDR3,1600,500 GB,matowa,1366 x 768,Intel HD Graphics 505,2 kg,
Nowy,,SSD + HDD,Windows 10 Home,Intel Core i5,4,3.5 GHz,8 GB,,,1128 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,,
Powystawowy,,HDD,Windows 10 Home,AMD A6,2,2.9 GHz,4 GB,DDR4,2400,1000 GB,matowa,1920 x 1080,,,
Używany,,SSD,Windows 7 Professional 64-bit,Intel Core i5,2,,8 GB,DDR3,,120 GB,matowa,1600 x 900,,,
Nowy,,SSD,Windows 10 Home,Intel Core i3,2,,4 GB,,,240 GB,matowa,1920 x 1080,,,
Nowy,,SSD + HDD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,1240 GB,matowa,1920 x 1080,NVIDIA GeForce MX130,2.22 kg,3653 mAh
Odnowiony przez producenta,IPS,SSD,Windows 10 Professional,Intel Core i5,2,3.1 GHz,8 GB,DDR3L,1866,256 GB,matowa,1920 x 1080,Intel HD Graphics 620,,
Odnowiony przez producenta,IPS,HDD,Windows 10 Home,Intel Core i7,4,4 GHz,12 GB,DDR4,2133,1000 GB,błyszcząca,1920 x 1080,,,41 Wh
Nowy,TN,HDD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,1000 GB,matowa,1920 x 1080,Intel HD Graphics 620,2.18 kg,42 Wh
Używany,,HDD,Windows 8.1 Professional 64-bit,Intel Core i5,2,2.9 GHz,4 GB,DDR3,,320 GB,antyrefleksyjna,1366 x 768,,,
Nowy,IPS,Hybrydowy,Windows 10 Home,Intel Core i3,2,2.4 GHz,4 GB,DDR4,2133,1000 GB,błyszcząca,1920 x 1080,Intel HD Graphics 620,1.72 kg,41 Wh
